pizza,price,hour
Pepperoni,18.99,18
Margherita,16.99,19
Pepperoni,18.99,18
Meat,21.99,20
Veggie,17.99,19
Pepperoni,18.99,12
Hawaiian,19.49,13
Cheese,15.99,18
Pepperoni,18.99,19
Meat,21.99,20
Margherita,16.99,18
Veggie,17.99,12
Pepperoni,18.99,19
Cheese,15.99,19
Hawaiian,19.49,18
Pepperoni,18.99,20
Meat,21.99,19
Pepperoni,18.99,18
Margherita,16.99,20
Veggie,17.99,18
Cheese,15.99,15
Pepperoni,18.99,20
Cheese,15.99,14
Cheese,15.99,20
Margherita,16.99,18
Cheese,15.99,15
Margherita,16.99,21
Pepperoni,18.99,13
Hawaiian,19.49,19
Pepperoni,18.99,21
Margherita,16.99,12
Pepperoni,18.99,21
Cheese,15.99,21
Veggie,17.99,16
Meat,21.99,15
Meat,21.99,19
Margherita,16.99,14
Hawaiian,19.49,17
Margherita,16.99,21
Veggie,17.99,20
Margherita,16.99,15
Veggie,17.99,20
Veggie,17.99,15
Margherita,16.99,16
Meat,21.99,18
Margherita,16.99,12
Cheese,15.99,20
Cheese,15.99,18
Meat,21.99,18
Pepperoni,18.99,13
Veggie,17.99,17
Cheese,15.99,17
Margherita,16.99,12
Veggie,17.99,11
Cheese,15.99,15
Meat,21.99,12
Margherita,16.99,20
Margherita,16.99,19
Cheese,15.99,15
Veggie,17.99,17
Veggie,17.99,21
Veggie,17.99,21
Hawaiian,19.49,18
Veggie,17.99,20
Margherita,16.99,11
Meat,21.99,20
Meat,21.99,17
Veggie,17.99,13
Meat,21.99,20
Meat,21.99,15
Veggie,17.99,16
Hawaiian,19.49,12
Veggie,17.99,12
Pepperoni,18.99,15
Hawaiian,19.49,14
Meat,21.99,12
Cheese,15.99,11
Pepperoni,18.99,13
Cheese,15.99,16
Margherita,16.99,14
Hawaiian,19.49,16
Meat,21.99,16
Hawaiian,19.49,13
Meat,21.99,21
Pepperoni,18.99,14
Margherita,16.99,20
Pepperoni,18.99,11
Meat,21.99,18
Veggie,17.99,16
Cheese,15.99,13
Meat,21.99,18
Margherita,16.99,12
Veggie,17.99,18
Veggie,17.99,19
Pepperoni,18.99,19
Margherita,16.99,16
Veggie,17.99,18
Cheese,15.99,16
Hawaiian,19.49,17
Hawaiian,19.49,14
Meat,21.99,14
Cheese,15.99,21
Meat,21.99,17
Cheese,15.99,21
Margherita,16.99,12
Cheese,15.99,14
Meat,21.99,17
Hawaiian,19.49,16
Hawaiian,19.49,20
Cheese,15.99,14
Veggie,17.99,16
Hawaiian,19.49,14
Pepperoni,18.99,14
Margherita,16.99,13
Cheese,15.99,21
Margherita,16.99,16
Meat,21.99,13
Margherita,16.99,15
Meat,21.99,20
Meat,21.99,13
Meat,21.99,11
Cheese,15.99,20
Pepperoni,18.99,19
Meat,21.99,14
Margherita,16.99,16
Cheese,15.99,19
Meat,21.99,17
Hawaiian,19.49,17
Pepperoni,18.99,15
Pepperoni,18.99,14
Pepperoni,18.99,17
Hawaiian,19.49,16
Pepperoni,18.99,12
Margherita,16.99,12
Cheese,15.99,16
Hawaiian,19.49,14
Veggie,17.99,13
Hawaiian,19.49,20
Veggie,17.99,13
Pepperoni,18.99,15
Hawaiian,19.49,11
Meat,21.99,12
Pepperoni,18.99,14
Hawaiian,19.49,17
Veggie,17.99,20
Pepperoni,18.99,20
Cheese,15.99,19
Cheese,15.99,19
Pepperoni,18.99,11
Cheese,15.99,16
Hawaiian,19.49,21
Meat,21.99,14
Hawaiian,19.49,17
Margherita,16.99,21
Margherita,16.99,19
Veggie,17.99,15
Veggie,17.99,18
Veggie,17.99,19
Veggie,17.99,16
Cheese,15.99,16
Pepperoni,18.99,18
Hawaiian,19.49,15
Veggie,17.99,14
Pepperoni,18.99,12
Meat,21.99,17
Cheese,15.99,18
Veggie,17.99,16
Meat,21.99,20
Veggie,17.99,21
Margherita,16.99,17
Veggie,17.99,17
Pepperoni,18.99,17
Veggie,17.99,13
Margherita,16.99,15
Veggie,17.99,17
Meat,21.99,16
Veggie,17.99,11
Hawaiian,19.49,21
Margherita,16.99,20
Meat,21.99,13
Veggie,17.99,14
Pepperoni,18.99,17
Meat,21.99,21
Pepperoni,18.99,19
Hawaiian,19.49,18
Meat,21.99,18
Veggie,17.99,12
Meat,21.99,14
Veggie,17.99,13
Meat,21.99,19
Meat,21.99,17
Pepperoni,18.99,13
Meat,21.99,15
Cheese,15.99,11
Hawaiian,19.49,16
Margherita,16.99,14
Meat,21.99,19
Meat,21.99,14
Veggie,17.99,15
Cheese,15.99,15
