pizza,price,hour
Pepperoni,18.99,19
Pepperoni,18.99,19
Pepperoni,18.99,19
Meat,21.99,19
Meat,21.99,19
Meat,21.99,20
Hawaiian,19.49,20
Hawaiian,19.49,20
Margherita,16.99,18
Margherita,16.99,18
Cheese,15.99,12
Cheese,15.99,12
Cheese,15.99,13
Veggie,17.99,13
Veggie,17.99,14
Pepperoni,18.99,18
Pepperoni,18.99,18
Pepperoni,18.99,18
Pepperoni,18.99,18
Meat,21.99,19
Meat,21.99,20
Meat,21.99,21
Hawaiian,19.49,21
Hawaiian,19.49,21
Margherita,16.99,19
Margherita,16.99,20
Pepperoni,18.99,20
Pepperoni,18.99,20
Pepperoni,18.99,21
Cheese,15.99,21
